,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
1,61080000,극적인하룻밤,영화,멜로,626,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240219193856
2,64386000,극적인하룻밤,영화,멜로,65,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240214082429
3,61779000,극적인하룻밤,영화,멜로,1360,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240220220535
4,66056000,극적인하룻밤,영화,멜로,49,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240208144749
5,62226000,극적인하룻밤,영화,멜로,128,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240212161301
6,61080000,극적인하룻밤,영화,멜로,2152,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240218010439
7,67164000,극적인하룻밤,영화,멜로,565,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240216204822
8,67164000,극적인하룻밤,영화,멜로,95,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240216210719
9,60607000,극적인하룻밤,영화,멜로,401,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240217003035
10,67164000,극적인하룻밤,영화,멜로,553,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240216205757
11,61779000,극적인하룻밤,영화,멜로,468,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240207213335
12,60550000,극적인하룻밤,영화,멜로,222,극적인하룻밤 캐릭터영상,"윤계상,한예리,박병은,박효주,조복래,정수영,김창환,김의성",01:47,20240207141952
13,62366000,(SD)뽕(1985),영화,드라마,2273,"일제 치하 용담골, 안협의 남편 삼보는 노름판을 돌아다니느라 집에 돌아오지 않는다. 벌이가 없는 안협은 동네 남자들에게 몸을 팔고 그 대가로 곡식을 받아 생활을 이어간다. 뽕을 치는 할매집 머슴 삼돌은 안협이 자신을 무시하자, 삼보에게 안협의 행각을 일러 바친다.","이미숙,이대근,이무정,곽은경",01:51,20240217143653
14,62366000,(SD)뽕(1985),영화,드라마,546,"일제 치하 용담골, 안협의 남편 삼보는 노름판을 돌아다니느라 집에 돌아오지 않는다. 벌이가 없는 안협은 동네 남자들에게 몸을 팔고 그 대가로 곡식을 받아 생활을 이어간다. 뽕을 치는 할매집 머슴 삼돌은 안협이 자신을 무시하자, 삼보에게 안협의 행각을 일러 바친다.","이미숙,이대근,이무정,곽은경",01:51,20240217142740
15,63086000,라바 인 뉴욕 13회,키즈,오락,420,1 승부. 2 댄스배틀. 3 코딱지. 4 추리 1.,"옐로,레드",00:07,20240218180026
16,63076000,뽀로로와 노래해요 NEW 1 08회,키즈,애니메이션,180,"꼭꼭꼭. 하늘을 날고 싶은 뽀로로, 멋지게 악기 연주를 하고 싶은 루피, 우주선을 만들어보고 싶은 에디와 멋진 그림을 완성하고 싶은 포비, 이렇게 네 명의 친구들의 도전과 노력에 관한 이야기를 그린 노래입니다. 뽀로로와 친구들이 어떤 도전을 이어나가는지 함께 볼까요?","뽀로로,크롱,루피,패티,에디,포비,해리",00:03,20240211150118
17,60784000,(SD)밀회,영화,드라마,525,남편의 불륜과 무관심 속에 집에서 홀로 채팅을 하는 것이 유일한 낙인 아유미는 어느 날 별뜻 없이 낯선 남자와 잠을 자게 되고 후회를 하고 있는 그녀에게 투고 사이트에 올라있는 그녀의 정사사진을 들이대며 유우지는 이혼을 요구하는데...,"준나키린,우유키로 호나",01:19,20240203001338
18,64505000,1회 목포 1부,우리동네,연예/오락,161,H-WELL 시니어 백세 건강 기체조,"양택조,김영환",00:57,20240211124532
19,59890000,건강 체조,기타,기타,23,H-WELL 시니어 백세 건강 기체조,"양택조,김영환",01:07,20240223162244
20,64984000,스나이퍼-화이트 레이븐,영화,액션/어드벤쳐,2226,"미콜라는 친환경적인 삶을 살기 위해 아내와 시골로 내려와 물리 교사를 하며 지내던 중, 러시아 무장 단체의 공격을 받아 임신한 아내가 사망하게 된다. 쓰러진 미콜라를 발견한 우크라이나 군은 군대에 미콜라를 데려가고, 미콜라는 복수를 위해 저격수가 될 결심을 한다.","파블로 알도쉰,마리나 코시키나,안드레이 모스트렌코",01:51,20240221015651
21,65624000,전국 노래 자랑 2151회(23/04/16),TV 연예/오락,기타,4620,전국노래자랑 [경북 구미시] 편.,김신영,01:17,20240224172407
