,Unnamed: 0,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
0,4,66437000,콩순이 율동교실 4기 01회,키즈,기타,60,콩순이 아이스크림 좋아송. 아이스크림 너무 좋아~! 콩순이와 친구들이 함께 부르는 아이스크림 좋아송!,콩순이,0:01,20200000000000.0
1,120,63086000,깨비키즈 공룡스토리 23회,키즈,기타,300,집을 잃은 티라 상. 아랫마을에 아주 성질이 더러운 스피노라는 육식동물이 나타났어요. 티라의 엄마는 절대 스피노와 맞서 싸우지 말라고 하셨는데…,-,0:05,20200000000000.0
2,121,63086000,깨비키즈 공룡스토리 23회,키즈,기타,300,집을 잃은 티라 상. 아랫마을에 아주 성질이 더러운 스피노라는 육식동물이 나타났어요. 티라의 엄마는 절대 스피노와 맞서 싸우지 말라고 하셨는데…,-,0:05,20200000000000.0
3,363,65198000,야구장 가는날,키즈,기타,840,인기 작가 김영진 작가 신작. 야구보다 치킨이 더 좋은 그린이와 열혈 야구팬 아빠가 야구장에 떴다!,-,0:14,20200000000000.0
4,558,60527000,타요의 씽씽극장 동요2 11회,키즈,기타,120,겨울 친구. 하얗게 반짝이는 눈이 펑펑 내렸어요. 썰매도 타고 눈싸움도 해볼까요? 사박사박 동글동글 귀여운 눈사람도 만들었어요. 눈 오는 날은 너무 좋아요~,-,0:02,20200000000000.0
5,559,60527000,타요의 씽씽극장 동요2 11회,키즈,기타,120,겨울 친구. 하얗게 반짝이는 눈이 펑펑 내렸어요. 썰매도 타고 눈싸움도 해볼까요? 사박사박 동글동글 귀여운 눈사람도 만들었어요. 눈 오는 날은 너무 좋아요~,-,0:02,20200000000000.0
6,592,65815000,위키와 동물 언어-한국어교육 02회,키즈,기타,10,"다람쥐, 쪼르르, 도토리.",-,0:11,20200000000000.0
7,623,65872000,핑크퐁 율동동요 04회,키즈,기타,60,멋쟁이 토마토. 베스트 인기 동요 멋쟁이 토마토에 맞춰 핑크퐁과 호기와 신나게 노래하고 춤춰요.,-,0:01,20200000000000.0
8,624,65872000,핑크퐁 율동동요 04회,키즈,기타,60,멋쟁이 토마토. 베스트 인기 동요 멋쟁이 토마토에 맞춰 핑크퐁과 호기와 신나게 노래하고 춤춰요.,-,0:01,20200000000000.0
9,625,65872000,핑크퐁 율동동요 04회,키즈,기타,60,멋쟁이 토마토. 베스트 인기 동요 멋쟁이 토마토에 맞춰 핑크퐁과 호기와 신나게 노래하고 춤춰요.,-,0:01,20200000000000.0
10,626,65872000,핑크퐁 율동동요 04회,키즈,기타,60,멋쟁이 토마토. 베스트 인기 동요 멋쟁이 토마토에 맞춰 핑크퐁과 호기와 신나게 노래하고 춤춰요.,-,0:01,20200000000000.0
11,627,65872000,핑크퐁 율동동요 04회,키즈,기타,60,멋쟁이 토마토. 베스트 인기 동요 멋쟁이 토마토에 맞춰 핑크퐁과 호기와 신나게 노래하고 춤춰요.,-,0:01,20200000000000.0
12,662,61931000,헤이지니 럭키강이 시즌13 스페셜. 01회,키즈,기타,414,1. 개구리알 모양 액체 괴물 만들기. 지니가 팝핑보바와 마시멜로우로 먹을 수 있는 액체 괴물을 만들어 봤어요! 2. 하늘을 나는 팽이?! 강이가 수영장에서 레고 스핀짓주 드래곤 파이터로 다양한 챌린지를 해봤어요~,"헤이지니,럭키강이",0:13,20200000000000.0
13,687,65872000,핑크퐁 율동동요 03회,키즈,기타,60,여섯 마리 오리. 꽥꽥꽥 여섯 마리 오리와 함께 신나는 댄스를! 핑크퐁과 호기와 함께 해요!,-,0:01,20200000000000.0
14,688,65872000,핑크퐁 율동동요 03회,키즈,기타,60,여섯 마리 오리. 꽥꽥꽥 여섯 마리 오리와 함께 신나는 댄스를! 핑크퐁과 호기와 함께 해요!,-,0:01,20200000000000.0
15,689,65872000,핑크퐁 율동동요 03회,키즈,기타,60,여섯 마리 오리. 꽥꽥꽥 여섯 마리 오리와 함께 신나는 댄스를! 핑크퐁과 호기와 함께 해요!,-,0:01,20200000000000.0
